ModuleCode;ModuleTag;Score
EN5883R;ENGLISH_LANGUAGE__LITERATURE;50
ENV2102;DEANS_OFFICE_SCIENCE;50
ENV3101;DEANS_OFFICE_SCIENCE;50
ES1000;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
ES1102;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
ES1501A;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
ES1501Q;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
ES1531;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
ES1541;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
ES2002;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
ES2007S;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
ES2331;CTR_FOR_ENGLISH_LANGUAGE_COMMUNICATION;50
ESE2401;CIVIL__ENVIRONMENTAL_ENGINEERING;50
ESE3001;CIVIL__ENVIRONMENTAL_ENGINEERING;50
ESE4403;CIVIL__ENVIRONMENTAL_ENGINEERING;50
ESE4405;CIVIL__ENVIRONMENTAL_ENGINEERING;50
ESE4407;CIVIL__ENVIRONMENTAL_ENGINEERING;50
ESE4502;CIVIL__ENVIRONMENTAL_ENGINEERING;50
ESE5401;CIVIL__ENVIRONMENTAL_ENGINEERING;50
ESE5405;CIVIL__ENVIRONMENTAL_ENGINEERING;50
ESE5602;CIVIL__ENVIRONMENTAL_ENGINEERING;50
ESP1104;ENGINEERING_SCIENCE_PROGRAMME;50
ESP2110;ENGINEERING_SCIENCE_PROGRAMME;50
ESP3903;ENGINEERING_SCIENCE_PROGRAMME;50
ESP4402;ENGINEERING_SCIENCE_PROGRAMME;50
ESP4901;ENGINEERING_SCIENCE_PROGRAMME;50
EU1101E;HISTORY;50
EU2203;POLITICAL_SCIENCE;50
EU2214;PHILOSOPHY;50
EU2223;HISTORY;50
EU3217;ENGLISH_LANGUAGE__LITERATURE;50
EU3224;SOCIOLOGY;50
EU3228;DEANS_OFFICE_ARTS__SOCIAL_SC.;50
EU3230;HISTORY;50
EU3231;HISTORY;50
EU4224;HISTORY;50
EU4228;POLITICAL_SCIENCE;50
EU4401;DEANS_OFFICE_ARTS__SOCIAL_SC.;50
FDP2001;DEANS_OFFICE_SCIENCE;50
FDP2002;DEANS_OFFICE_SCIENCE;50
FIN2004;FINANCE;50
FIN2004X;FINANCE;50
FIN3101A;FINANCE;50
FIN3102A;FINANCE;50
FIN3102B;FINANCE;50
FIN3103A;FINANCE;50
FIN3103B;FINANCE;50
FIN3113;FINANCE;50
FIN3116;FINANCE;50
FIN3117;FINANCE;50
FIN3118;FINANCE;50
FIN3129;FINANCE;50
FIN3130;FINANCE;50
FIN3131;FINANCE;50
FIN4112G;FINANCE;50
FIN4112H;FINANCE;50
FIN4112K;FINANCE;50
FIN4113;FINANCE;50
FIN4116;FINANCE;50
FIN4119;FINANCE;50
FMA1201J;JAPANESE_STUDIES;50
FMA1201P;SOCIAL_WORK;50
FMA1201Q;SOCIOLOGY;50
FMA1201R;SOUTH_ASIAN_STUDIES_PROGRAMME;50
FMA1203F;ENGLISH_LANGUAGE__LITERATURE;50
FMA1203H;HISTORY;50
FMA1206M;POLITICAL_SCIENCE;50
FMC1201;COMPUTER_SCIENCE;50
FMC1203;COMPUTER_SCIENCE;50
FMD1201;BUILDING;50
FMS1201D;DEANS_OFFICE_SCIENCE;50
FMS1202C;CHEMISTRY;50
FMS1203S;STATISTICS__APPLIED_PROBABILITY;50
FMS1204P;PHYSICS;50
FMS1204S;STATISTICS__APPLIED_PROBABILITY;50
FMS1205M;MATHEMATICS;50
FMS1205P;PHYSICS;50
FMS1207C;CHEMISTRY;50
FMS1207P;PHYSICS;50
FMS1209C;CHEMISTRY;50
FMS1209M;MATHEMATICS;50
FMS1210C;CHEMISTRY;50
